filename,date,open,close,high,low,volume,Empfehlung
goteur,2019-08-19,0.38001,0.38001,0.38001,0.38001,13.08134655,H3
gotusd,2019-08-19,0.42192861,0.42199,0.42199,0.42192861,26.162693100000002,H3
gsdusd,2019-08-19,0.984,0.984,0.984,0.984,45.6,H3
gtxusd,2019-08-19,0.9457,0.9457,0.9457,0.9457,8.457,H0
gtxust,2019-08-19,0.7968,0.7968,0.7968,0.7968,3.978,H3
hotbtc,2019-08-19,5.835E-7,5.835E-7,5.835E-7,5.835E-7,1885.0,H3
hoteth,2019-08-19,4.719E-5,4.717E-5,4.719E-5,4.717E-5,909.1,H0
hotusd,2019-08-19,0.0062327,0.0062327,0.0062327,0.0062327,538.461,H3
impeth,2019-08-19,4.093E-5,4.076E-5,4.093E-5,4.076E-5,2367.0,H3
impusd,2019-08-19,0.005071,0.005071,0.005071,0.005071,1477.86053426,H3
inteth,2019-08-19,1.95E-4,1.95E-4,1.95E-4,1.95E-4,1574.0,H0
intusd,2019-08-19,0.038002,0.03804,0.03804,0.038002,269.20634921,H3
iosbtc,2019-08-19,8.1E-7,8.1E-7,8.1E-7,8.1E-7,3500.0,K3
ioseth,2019-08-19,4.929E-5,4.929E-5,4.929E-5,4.929E-5,2293.0,H3
iosusd,2019-08-19,0.0083284,0.0083284,0.0083284,0.0083284,368.572002,H3
iotbtc,2019-08-19,2.312E-5,2.312E-5,2.312E-5,2.312E-5,5762.2920883,H3
ioteth,2019-08-19,0.0012408,0.0012424,0.0012424,0.0012408,3570.77949352,H3
ioteur,2019-08-19,0.22785,0.22785,0.22785,0.22785,171.08708737,H3
iotgbp,2019-08-19,0.20779,0.20779,0.20779,0.20779,374.06012843,H3
iotjpy,2019-08-19,26.87674562,26.87674562,26.87674562,26.87674562,6703.424950000001,H3
iotusd,2019-08-19,0.25181,0.25181,0.25181,0.25181,12.0,H3
iqxbtc,2019-08-19,1.9E-7,1.9E-7,1.9E-7,1.9E-7,2375.57541697,H3
iqxeos,2019-08-19,5.782E-4,5.782E-4,5.782E-4,5.782E-4,22980.0,K3
iqxusd,2019-08-19,0.0019314,0.0019314,0.0019314,0.0019314,7435.754,H3
kanusd,2019-08-19,0.003643,0.0036420000000000003,0.003643,0.0036420000000000003,2140.0,H3
kanust,2019-08-19,0.0036270000000000004,0.0036270000000000004,0.0036270000000000004,0.0036270000000000004,3370.0,H0
kncbtc,2019-08-19,1.543E-5,1.543E-5,1.543E-5,1.543E-5,222.6,H3
knceth,2019-08-19,8.655E-4,8.655E-4,8.655E-4,8.655E-4,221.3,H3
kncusd,2019-08-19,0.2112,0.2115,0.2115,0.2112,34.51,H3
leobtc,2019-08-19,1.226E-4,1.2259E-4,1.226E-4,1.2259E-4,1000.0,H3
leoeos,2019-08-19,0.3509,0.3509,0.3509,0.3509,393.1,K3
leoeth,2019-08-19,0.006534000000000001,0.006534000000000001,0.006534000000000001,0.006534000000000001,75.55741277,H0
leousd,2019-08-19,1.3302,1.3302,1.3302,1.3302,27.94949398,H3
leoust,2019-08-19,1.312,1.321,1.3222,1.2723,154335.67437549,H3
looeth,2019-08-19,2.191E-4,2.191E-4,2.191E-4,2.191E-4,523.5,K0
loousd,2019-08-19,0.0313,0.03125,0.0313,0.03125,808.2,H3
